location,population,infection_count,infected_population_percentage
Faeroe Islands,49053,34658,70.65419037
Andorra,77354,42156,54.49750498
Cyprus,896005,486086,54.25036691
Denmark,5813302,3129544,53.83418924
Gibraltar,33691,18129,53.80962275
Iceland,368792,186969,50.69768325
San Marino,34010,16852,49.55013231
Slovenia,2078723,1020580,49.09648857
Netherlands,17173094,8165777,47.54982998
Saint Pierre and Miquelon,5771,2739,47.46144516
Austria,9043072,4255897,47.06251371
Slovakia,5449270,2539498,46.60253575
Liechtenstein,38254,17361,45.38348931
Israel,9291000,4112831,44.26682811
Latvia,1866934,826342,44.26198248
Seychelles,98910,43473,43.95207765
France,67422000,29287598,43.43923052
Estonia,1325188,575046,43.39354114
Switzerland,8715494,3659937,41.99345442
Georgia,3979773,1655221,41.59083948
Portugal,10167923,4114316,40.46368172
Lithuania,2689862,1060896,39.44053635
Luxembourg,634814,244182,38.46512522
Isle of Man,85410,32600,38.16883269
Bonaire Sint Eustatius and Saba,26445,9986,37.76139157
Montenegro,628051,236414,37.64248445
Czechia,10724553,3916930,36.52301406
Belgium,11632334,4127123,35.47974981
Cayman Islands,66498,23578,35.45670546
South Korea,51305184,17861744,34.81469631
Aruba,107195,35693,33.297262
Bahrain,1748295,578848,33.10928648
Maldives,543620,179560,33.03042566
Brunei,441532,145221,32.89025484
Greece,10370747,3401927,32.80310473
United Kingdom,68207114,22287698,32.67650058
Falkland Islands,3528,1126,31.91609977
Cook Islands,17572,5480,31.18597769
Germany,83900471,25890456,30.85853475
Ireland,4982904,1535451,30.81438053
Monaco,39520,12035,30.45293522
Serbia,6871547,2013622,29.30376522
Italy,60367471,17116550,28.35392922
Croatia,4081657,1131898,27.73133558
Mongolia,3329282,922227,27.70047716
Palau,18174,4936,27.15967866
Barbados,287708,77364,26.88976323
Australia,25788217,6759756,26.21257608
Norway,5465629,1430173,26.1666681
Curacao,164796,43017,26.10318212
Uruguay,3485152,908078,26.0556211
Spain,46745211,12179234,26.05450642
French Polynesia,282534,72836,25.7795522
United States,332915074,82726104,24.84901119
Sweden,10160159,2504894,24.65408268
Bermuda,62092,14135,22.76460736
Singapore,5453600,1240233,22.74154687
British Virgin Islands,30423,6573,21.60536436
New Caledonia,288217,61185,21.22879636
Greenland,56868,11971,21.05050292
New Zealand,5126300,1070373,20.88003043
Anguilla,15125,3116,20.60165289
Argentina,45605823,9135308,20.03101227
Hungary,9634162,1909948,19.82474449
Finland,5548361,1069740,19.28028836
Chile,19212362,3611813,18.79942196
Panama,4381583,810242,18.49199251
Dominica,72172,13116,18.17325279
Malta,516100,93682,18.15190854
Turkey,85042736,15057184,17.70543224
Mauritius,1273428,223793,17.57405994
Bulgaria,6896655,1162449,16.85525809
Costa Rica,5139053,866164,16.85454499
Jordan,10269022,1696359,16.51918751
Lebanon,6769151,1098124,16.22247753
Hong Kong,7552800,1209068,16.00820888
Montserrat,4981,794,15.94057418
Poland,37797000,6004041,15.88496706
Turks and Caicos Islands,39226,6046,15.41324632
Romania,19127772,2904075,15.18250531
North Macedonia,2082661,310942,14.93003422
Grenada,113015,16784,14.85112596
Kuwait,4328553,632074,14.60243181
Belize,404915,58135,14.35733426
Brazil,213993441,30701900,14.34712198
Armenia,2968128,422917,14.24861057
Malaysia,32776195,4481278,13.67235581
Suriname,591798,80240,13.5586805
Saint Lucia,184401,24514,13.29385415
Moldova,4024025,518166,12.87680867
Kosovo,1782115,228245,12.80753487
Botswana,2397240,306614,12.79029217
Palestine,5222756,657456,12.58829629
Qatar,2930524,366477,12.50551096
Russia,145912022,18002492,12.33790866
Colombia,51265841,6095316,11.88962452
Ukraine,43466822,5040518,11.5962423
Bosnia and Herzegovina,3263459,377606,11.57072909
Trinidad and Tobago,1403374,155893,11.10844294
Vietnam,98168829,10699965,10.89955448
Peru,33359415,3572832,10.71011587
Tonga,106759,11280,10.56585393
Saint Kitts and Nevis,53546,5622,10.49938371
Belarus,9442867,982867,10.40856553
Canada,38067913,3844871,10.10003096
